experiment_id,episode,avg_eval_score,target_score
run_1,5,-1023.4754367078431,250
run_1,10,-824.9487983264095,250
run_1,15,-626.6833297598163,250
run_1,20,-167.66019288034502,250
run_1,25,-99.6967888297324,250
run_1,30,-146.01163820750307,250
run_1,35,-144.38742263992376,250
run_1,40,-139.1676862087114,250
run_1,45,-230.43025454059944,250
run_1,50,-176.86138793996062,250
run_1,55,-183.8738308147848,250
run_1,60,-181.20454313798513,250
run_1,65,-167.0178887407381,250
run_1,70,-151.84970298414635,250
run_1,75,-178.26701211701896,250
run_1,80,-217.52027962836414,250
run_1,85,-280.2960019929479,250
run_1,90,-267.0186724871197,250
run_1,95,-280.28976663142953,250
run_1,100,-282.7532454789942,250
run_1,105,-232.9497207299979,250
run_1,110,-279.6119260192294,250
run_1,115,-262.64911622675646,250
run_1,120,-219.1571478679652,250
run_1,125,-224.0832172862626,250
run_1,130,-239.04131271382047,250
run_1,135,-176.5774848638263,250
run_1,140,-213.01210470585062,250
run_1,145,-206.74974527700883,250
run_1,150,-208.40821504271057,250
run_1,155,-205.05672075139515,250
run_1,160,-159.96959965824277,250
run_1,165,-57.581520275739216,250
run_1,170,-72.29176540966587,250
run_1,175,-22.093781079471313,250
run_1,180,-32.47364759253788,250
run_1,185,-21.660396189326878,250
run_1,190,-27.36025235591082,250
run_1,195,-22.49546117468838,250
run_1,200,166.4428430445474,250
run_1,205,49.44840416569626,250
run_1,210,-156.6591599541025,250
run_1,215,20.757828452057545,250
run_1,220,145.9312865900185,250
run_1,225,224.27969865724907,250
run_1,230,77.89267206343264,250
run_1,235,191.7090107819767,250
run_1,240,214.7624298107026,250
run_1,245,240.6056865615073,250
run_1,250,106.13879977974764,250
run_1,255,203.21589028091904,250
run_1,260,82.9747164476374,250
run_1,265,183.5260362785612,250
run_1,270,165.58297661069622,250
run_1,275,178.97426147990907,250
run_1,280,205.73937897578065,250
run_1,285,163.75573087726346,250
run_1,290,-50.92755372540752,250
run_1,295,239.762389803198,250
run_1,300,122.02498864239676,250
run_1,305,232.36110504517615,250
run_1,310,-9.53834448225184,250
run_1,315,200.87014958143834,250
run_1,320,231.53926970687812,250
run_1,325,127.98308546433987,250
run_1,330,173.56271276756212,250
run_1,335,248.37403289267021,250
run_1,340,236.2723085231044,250
run_1,345,229.7805201835351,250
run_1,350,80.19058601976762,250
run_1,355,241.41297931800682,250
run_1,360,257.1510226561083,250
run_10,5,-782.6645503895795,250
run_10,10,-732.7461053058739,250
run_10,15,-394.8118092301864,250
run_10,20,-60.79050242412726,250
run_10,25,-145.7575553075984,250
run_10,30,-90.93794929533104,250
run_10,35,-118.38652654155555,250
run_10,40,-135.35696291589588,250
run_10,45,-175.96182159099703,250
run_10,50,-113.33386549194456,250
run_10,55,-114.64971304572364,250
run_10,60,-123.85443658831073,250
run_10,65,-207.87162292498297,250
run_10,70,-150.92421743043082,250
