experiment_id,episode,avg_eval_score
run_1,5,-652.5798969137066
run_1,10,-566.0057943550523
run_1,15,-366.38156325762174
run_1,20,-195.08421309717548
run_1,25,-340.4345135143982
run_1,30,-352.9782803664908
run_1,35,-324.7287287250873
run_1,40,-481.16318490084313
run_1,45,-164.2824589457196
run_1,50,-161.18588948823404
run_1,55,-407.74948494294415
run_1,60,-193.0296965111377
run_1,65,-237.32709253661318
run_1,70,-235.97670701764952
run_1,75,-227.71696228210226
run_1,80,-220.95764544782054
run_1,85,-209.4747548138596
run_1,90,-171.46107235613488
run_1,95,-207.82295277675297
run_1,100,-188.0653501806258
run_1,105,-134.3872315883506
run_1,110,-149.6942275598818
run_1,115,-204.59176887506766
run_1,120,-75.98013429520076
run_1,125,-139.60100625674696
run_1,130,-105.61287302300953
run_1,135,-143.8271166002658
run_1,140,-101.47987188817893
run_1,145,-140.36679865181628
run_1,150,-90.38852939004772
run_1,155,-100.0982172639572
run_1,160,-111.449660036945
run_1,165,-135.52552203280567
run_1,170,-94.96685446281666
run_1,175,-39.54342336427718
run_1,180,-35.45454401611298
run_1,185,-28.990213145190296
run_1,190,-33.309417067122
run_1,195,-12.012218471099803
run_1,200,-22.844921353887436
run_1,205,-10.000478842050937
run_1,210,-8.549078730948906
run_1,215,-5.144815306721421
run_1,220,-9.32009231154113
run_1,225,-93.95007962510834
run_1,230,-13.305511264864602
run_1,235,228.1970047777158
run_1,240,-18.347995779085807
run_1,245,242.77783681145215
run_1,250,220.46302578343557
run_1,255,-582.2559580485281
run_1,260,7.423543442783393
run_1,265,132.2742785346212
run_1,270,-2.092412139350948
run_1,275,233.88061271531143
run_1,280,-224.53576709639097
run_1,285,150.34412986730845
run_1,290,-451.69119843957213
run_1,295,253.57607670500155
run_10,5,-812.2292927422122
run_10,10,-729.0212744666967
run_10,15,-23.62649180841762
run_10,20,-813.8565900485397
run_10,25,-496.5522422729588
run_10,30,-239.47094518736444
run_10,35,-230.99368328665136
run_10,40,-215.58631113674778
run_10,45,-225.50562640809125
run_10,50,-163.5073320668136
run_10,55,-297.6747182420128
run_10,60,-121.5309794275117
run_10,65,-161.67343104242147
run_10,70,-168.6822616629341
run_10,75,-165.04131232653887
run_10,80,-132.81854252003308
run_10,85,-119.87545834659048
run_10,90,-132.2520304572706
run_10,95,-33.579525490935204
run_10,100,-165.1525668509256
run_10,105,-17.430839590228597
run_10,110,-108.22973033484304
run_10,115,-157.07370436022137
run_10,120,-151.78821690127702
run_10,125,-97.09860930354508
run_10,130,-102.57560217553869
run_10,135,-166.52304362888532
run_10,140,-122.58820188339223
run_10,145,-202.19323382151697
run_10,150,-116.2766473917347
run_10,155,-101.07626894757796
run_10,160,-123.06114746767985
run_10,165,-141.49995744530221
run_10,170,-236.50155084295952
run_10,175,-104.93840628266096
run_10,180,-116.25686457939692
run_10,185,-136.34136023408877
run_10,190,-135.0706179029837
run_10,195,-10.37666392361746
run_10,200,-18.815891616159064
run_10,205,-311.77140325036714
run_10,210,-34.0937783459353
run_10,215,-133.02776110852267
run_10,220,-25.67116341275756
run_10,225,31.128587945305554
run_10,230,-22.754377207040008
run_10,235,-24.74869359333621
run_10,240,-716.8470798238297
run_10,245,85.41057280642983
run_10,250,8.178938076229292
run_10,255,-27.759254245591716
run_10,260,-15.13140264885915
run_10,265,-774.3285730539412
run_10,270,80.74798371434098
run_10,275,-0.7395273050845997
run_10,280,-75.77724491419005
run_10,285,157.28007251504602
run_10,290,-87.64748959930536
run_10,295,-172.7913582979338
run_10,300,233.59065930174114
run_10,305,170.73190531021726
run_10,310,-245.38786199742805
run_10,315,186.9892844940087
run_10,320,47.96534361575124
run_10,325,145.7705648795225
run_10,330,-70.09700140155311
run_10,335,245.97049367563955
run_10,340,267.3852272052009
run_11,5,-137.53345040239222
run_11,10,-931.3072992139178
run_11,15,-1057.5310436606917
run_11,20,-572.7568879337724
run_11,25,-658.4761859184221
run_11,30,-1204.8588575929257
run_11,35,-491.04224465483037
run_11,40,-486.211606680322
run_11,45,-785.5041898007373
run_11,50,-292.32815033825415
run_11,55,-219.11876668782253
run_11,60,-178.15931619827603
run_11,65,-145.18509306458208
run_11,70,-157.9545799271103
run_11,75,-175.23340960498456
run_11,80,-214.70083656286857
run_11,85,-218.69484644064445
run_11,90,-201.0853327960479
run_11,95,-231.8003333180744
run_11,100,-188.44721021817858
run_11,105,-182.81871338135468
run_11,110,-108.59524296810977
run_11,115,-84.70832697172396
run_11,120,-90.5685155741098
run_11,125,-121.44237313777285
run_11,130,-121.86249117202954
run_11,135,-148.83349953700318
run_11,140,-69.03023685929278
run_11,145,-94.13697906529835
run_11,150,-91.90140855118672
run_11,155,-114.37571053280786
run_11,160,-103.60627864749215
run_11,165,-105.87303571773029
run_11,170,-94.53086381551296
run_11,175,-117.37888705301482
run_11,180,-36.70375309280484
run_11,185,-91.7675268142883
run_11,190,-45.41422870392179
run_11,195,-42.74190303498032
run_11,200,-38.34475051758981
run_11,205,-40.98391677669591
run_11,210,-14.31710968919075
run_11,215,-24.69788636924256
run_11,220,-147.86481496684763
run_11,225,-41.13376739409354
run_11,230,-12.607679790853691
run_11,235,-63.95491607989029
run_11,240,0.025284581635536086
run_11,245,21.57780585667119
run_11,250,-42.927392170732126
run_11,255,-40.326649310171824
run_11,260,181.11882200150407
run_11,265,45.557154561823026
run_11,270,38.90865074771349
run_11,275,166.81087078173627
run_11,280,170.67413775602233
run_11,285,122.21444598095385
run_11,290,132.22506622513723
run_11,295,142.10971254178293
run_11,300,141.27607168062192
run_11,305,-24.375509933147622
run_11,310,260.192342211917
run_12,5,-942.6458162602128
run_12,10,-632.2807089383862
run_12,15,-395.42287959340473
run_12,20,-267.58045141707146
run_12,25,-267.7075377081663
run_12,30,-158.19269351913027
run_12,35,-37.23677735957731
run_12,40,-71.94919212923078
run_12,45,-170.6055127436885
run_12,50,-117.8021592895091
run_12,55,-127.25672103608863
run_12,60,-152.05368007634095
run_12,65,-146.92173552176595
run_12,70,-147.43788767693508
run_12,75,-145.76909419742816
run_12,80,-175.56841964317618
run_12,85,-175.5462275030332
run_12,90,-187.29675089060734
run_12,95,-152.6101636289357
run_12,100,-142.11452526022097
run_12,105,-125.25171463144905
run_12,110,-122.86233602783764
run_12,115,-105.35239933473171
run_12,120,-132.1749720438699
run_12,125,-102.37187678684754
run_12,130,-88.92285674763833
run_12,135,-92.7998338439783
run_12,140,-92.29968306196523
run_12,145,-58.29074925448646
run_12,150,-22.305253479160086
run_12,155,-34.43733775286293
run_12,160,-22.194749928900432
run_12,165,-14.213029434526351
run_12,170,-40.294432929532825
run_12,175,-22.914581543128627
run_12,180,-35.0920485663379
run_12,185,-31.128880772335556
run_12,190,-7.1473276092050755
run_12,195,-18.034184673772295
run_12,200,-81.96180791743821
run_12,205,-4.776253376685317
run_12,210,-49.48508136917898
run_12,215,-13.955498572182872
run_12,220,-6.266577229604066
run_12,225,-3.6985318738459556
run_12,230,-7.122383899612541
run_12,235,-14.652298689262455
run_12,240,99.38611843302023
run_12,245,30.865771618384976
run_12,250,-42.21264030191232
run_12,255,66.09325099450834
run_12,260,40.25034171856076
run_12,265,-28.787945984603567
run_12,270,95.24699976664999
run_12,275,127.32154051149891
run_12,280,69.0333194070558
run_12,285,255.0470580157969
run_13,5,-723.3860401762436
run_13,10,-736.5004454454468
run_13,15,-917.0774729832305
run_13,20,-1025.6975664945073
run_13,25,-470.86928032406087
run_13,30,-134.3501885915547
run_13,35,-85.13700051986308
run_13,40,-118.12923746931192
run_13,45,-71.51596490131338
run_13,50,-144.43996325013558
run_13,55,-71.33665303898228
run_13,60,-87.3241373471407
run_13,65,-171.69881760336534
run_13,70,-256.0761215618046
run_13,75,-134.87387360150038
run_13,80,-226.67068164459425
run_13,85,-159.25730054153553
run_13,90,-159.29220035650914
run_13,95,-200.91338331090446
run_13,100,-127.60145132722634
run_13,105,-149.01997083011833
run_13,110,-167.94302918555624
run_13,115,-164.25087259726396
run_13,120,-171.92950471512984
run_13,125,-150.00068660530025
run_13,130,-165.67976854540603
run_13,135,-107.56409027681589
run_13,140,-152.89066613266917
run_13,145,-87.25875954673634
run_13,150,-61.66978455398576
run_13,155,-82.00650740272876
run_13,160,-69.94178544193338
run_13,165,-32.419658857657225
run_13,170,-20.830706543537083
run_13,175,1.6012721623732387
run_13,180,-73.99627805293905
run_13,185,-21.507333342298722
run_13,190,-13.54408278318119
run_13,195,-3.589635966430555
run_13,200,-2.6280452957188922
run_13,205,39.36077490899238
run_13,210,83.93319624681585
run_13,215,-16.780873764985863
run_13,220,207.3691640208407
run_13,225,211.1815339142379
run_13,230,88.57583656783719
run_13,235,104.56449052740227
run_13,240,79.78195742122537
run_13,245,119.78208928158726
run_13,250,129.60782478639072
run_13,255,216.34800214716103
run_13,260,172.23088330786828
run_13,265,169.32332555494014
run_13,270,210.73973475392012
run_13,275,121.58852593315103
run_13,280,186.70746192246287
run_13,285,175.0449441826298
run_13,290,195.85218166000192
run_13,295,206.69179464034156
run_13,300,233.73090004166903
run_13,305,190.5545268055084
run_13,310,162.38712725414393
run_13,315,174.08350617976345
run_13,320,257.91977830452083
run_14,5,-1092.0961017905454
run_14,10,-1104.870880090737
run_14,15,-302.0551674159325
run_14,20,-212.49756256852964
run_14,25,-218.49346621710578
run_14,30,-130.4204247692888
run_14,35,-238.41262039828024
run_14,40,-153.5433940714974
run_14,45,-110.42131842274436
run_14,50,-102.96168749472663
run_14,55,-108.21344690192173
run_14,60,-83.92032782467092
run_14,65,-106.42521669710527
run_14,70,-106.9776459319936
run_14,75,-194.18905498250098
run_14,80,-104.27559697090805
run_14,85,-184.1955250057979
run_14,90,-220.81712093506266
run_14,95,-313.11428259871707
run_14,100,-136.44340069730612
run_14,105,-109.91702110282131
run_14,110,-221.86040033708952
run_14,115,-187.00519432819746
run_14,120,-154.67689918565537
run_14,125,-151.44777500826643
run_14,130,-143.6132401553304
